INFO 2025-06-07 18:30:25,758 basehttp 51000 49692 "GET /admin/questions/question/ HTTP/1.1" 200 39610
INFO 2025-06-07 18:30:27,883 basehttp 51000 49692 "GET /admin/questions/question/export/? HTTP/1.1" 200 21823
INFO 2025-06-07 18:30:27,901 basehttp 51000 43472 "GET /static/import_export/export_selectable_fields.js HTTP/1.1" 200 1396
INFO 2025-06-07 18:30:27,901 basehttp 51000 504 "GET /static/import_export/export.css HTTP/1.1" 200 121
INFO 2025-06-07 18:30:27,906 basehttp 51000 49692 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 18:30:31,702 basehttp 51000 49692 "GET /admin/questions/question/ HTTP/1.1" 200 39610
INFO 2025-06-07 18:30:35,112 basehttp 51000 49692 "GET /admin/questions/question/add/ HTTP/1.1" 200 30194
INFO 2025-06-07 18:30:35,130 basehttp 51000 49692 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 18:30:48,606 basehttp 51000 49692 "GET /admin/questions/question/ HTTP/1.1" 200 39610
INFO 2025-06-07 18:34:44,650 autoreload 51000 46464 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\questions\models.py changed, reloading.
INFO 2025-06-07 18:34:45,599 autoreload 22200 41648 Watching for file changes with StatReloader
INFO 2025-06-07 18:38:44,909 autoreload 22200 41648 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\core_settings\urls.py changed, reloading.
INFO 2025-06-07 18:38:45,682 autoreload 29540 55280 Watching for file changes with StatReloader
INFO 2025-06-07 18:39:04,814 autoreload 29540 55280 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\exams\views.py changed, reloading.
INFO 2025-06-07 18:39:05,570 autoreload 55272 3748 Watching for file changes with StatReloader
INFO 2025-06-07 18:39:21,543 autoreload 55272 3748 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\exams\views.py changed, reloading.
INFO 2025-06-07 18:39:22,301 autoreload 54040 54984 Watching for file changes with StatReloader
INFO 2025-06-07 18:39:50,101 autoreload 54040 54984 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\exams\views.py changed, reloading.
INFO 2025-06-07 18:39:50,850 autoreload 47276 50396 Watching for file changes with StatReloader
INFO 2025-06-07 18:40:20,756 autoreload 47276 50396 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\exams\views.py changed, reloading.
INFO 2025-06-07 18:40:21,527 autoreload 41864 38792 Watching for file changes with StatReloader
INFO 2025-06-07 18:43:07,625 basehttp 41864 53456 "GET /admin/ HTTP/1.1" 200 19727
INFO 2025-06-07 18:43:07,643 basehttp 41864 53456 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-06-07 18:43:22,393 basehttp 41864 53456 "GET / HTTP/1.1" 200 6417
INFO 2025-06-07 19:48:23,572 basehttp 41864 48556 "GET /accounts/logout/ HTTP/1.1" 302 0
INFO 2025-06-07 19:48:23,579 basehttp 41864 48556 "GET / HTTP/1.1" 200 8115
INFO 2025-06-07 19:48:26,104 basehttp 41864 48556 "GET /accounts/login/ HTTP/1.1" 200 7081
INFO 2025-06-07 19:48:41,845 basehttp 41864 48556 "GET /accounts/signup/ HTTP/1.1" 200 7876
INFO 2025-06-07 19:48:55,615 basehttp 41864 48556 "GET /admin/socialaccount/socialapp/ HTTP/1.1" 302 0
INFO 2025-06-07 19:48:55,625 basehttp 41864 48556 "GET /admin/login/?next=/admin/socialaccount/socialapp/ HTTP/1.1" 200 4357
INFO 2025-06-07 19:48:55,646 basehttp 41864 48556 "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-06-07 19:49:04,763 basehttp 41864 48556 "POST /admin/login/?next=/admin/socialaccount/socialapp/ HTTP/1.1" 302 0
INFO 2025-06-07 19:49:04,802 basehttp 41864 48556 "GET /admin/socialaccount/socialapp/ HTTP/1.1" 200 19598
INFO 2025-06-07 19:49:04,831 basehttp 41864 48556 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 19:49:06,586 basehttp 41864 48556 "GET /admin/socialaccount/socialapp/1/change/ HTTP/1.1" 200 25110
INFO 2025-06-07 19:49:06,599 basehttp 41864 51128 "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-06-07 19:49:06,600 basehttp 41864 33112 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15709
INFO 2025-06-07 19:49:06,605 basehttp 41864 48556 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 19:49:06,633 basehttp 41864 48556 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-06-07 19:49:23,093 basehttp 41864 48556 "GET /admin/socialaccount/socialaccount/add/ HTTP/1.1" 200 20979
INFO 2025-06-07 19:49:23,109 basehttp 41864 48556 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 19:49:31,543 basehttp 41864 48556 "GET /admin/socialaccount/socialapp/1/change/ HTTP/1.1" 200 25110
INFO 2025-06-07 19:55:27,745 autoreload 41864 38792 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\core_settings\settings.py changed, reloading.
INFO 2025-06-07 19:55:31,179 autoreload 21016 33948 Watching for file changes with StatReloader
INFO 2025-06-07 19:56:19,644 basehttp 21016 49364 "GET /admin/socialaccount/socialapp/1/change/ HTTP/1.1" 200 25161
INFO 2025-06-07 19:56:19,660 basehttp 21016 49364 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 19:56:27,023 basehttp 21016 49364 "GET /accounts/signup/ HTTP/1.1" 302 0
INFO 2025-06-07 19:56:27,034 basehttp 21016 49364 "GET / HTTP/1.1" 200 6417
INFO 2025-06-07 19:56:29,943 basehttp 21016 49364 "GET /accounts/logout/ HTTP/1.1" 302 0
INFO 2025-06-07 19:56:29,945 basehttp 21016 49364 "GET / HTTP/1.1" 200 8115
INFO 2025-06-07 19:56:33,150 basehttp 21016 49364 "GET /accounts/signup/ HTTP/1.1" 200 8281
INFO 2025-06-07 19:56:33,168 basehttp 21016 49364 "GET /static/icons/google-logo.svg HTTP/1.1" 200 1140
INFO 2025-06-07 19:56:36,112 basehttp 21016 49364 "GET /accounts/login/ HTTP/1.1" 200 7485
INFO 2025-06-07 19:56:37,280 basehttp 21016 49364 "GET /accounts/google/login/?process=login HTTP/1.1" 302 0
INFO 2025-06-07 19:56:51,386 basehttp 21016 49364 "GET /accounts/google/login/callback/?state=rFnwBZzveJYXiPfC&code=4%2F0AUJR-x4g3Fg6oLdNBqRCl2cQGNMWmfRHrNk3hF1tajBDxntZ5WCmt7yg8sXP4pA6oncf0g&scope=email+profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.profile+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&hd=legolego.co&prompt=consent HTTP/1.1" 302 0
INFO 2025-06-07 19:56:51,436 basehttp 21016 49364 "GET / HTTP/1.1" 200 6411
INFO 2025-06-07 19:56:57,960 basehttp 21016 49364 "GET / HTTP/1.1" 200 6411
INFO 2025-06-07 19:56:58,665 basehttp 21016 49364 "GET / HTTP/1.1" 200 6411
INFO 2025-06-07 20:16:13,439 basehttp 21016 43216 "GET /admin/socialaccount/socialapp/1/change/ HTTP/1.1" 302 0
INFO 2025-06-07 20:16:13,464 basehttp 21016 43216 "GET /admin/login/?next=/admin/socialaccount/socialapp/1/change/ HTTP/1.1" 200 3956
